id,pop,rep,measure_traits
582,FC-ISB,B,yes
583,CC-CUP,B,no
584,CC-ALM,B,no
585,CC-GUA,B,no
586,CC-LEX,B,no
587,CE-LGR,B,no
588,FC-COU,B,no
589,CE-COL,B,no
590,FC-LEM,B,no
591,CC-CVR,B,no
592,CC-SHL,B,no
593,CE-SRK,B,no
594,CC-FBK,B,no
595,CC-BAI,B,no
596,CE-JES,B,no
597,FS-FRE,B,yes (DNA)
598,CE-JVR,B,NA
599,CE-JAR,B,no
600,CE-CAR,B,no
601,NL-SCH,B,no
602,CE-TUL,B,no
603,FS-LAT,B,NA
604,CE-LLL,B,no
605,NL-HAR,B,no
606,CC-BYD,B,no
607,FS-VID,B,yes (DNA)
608,CC-SCR,B,no
609,NL-WHV,B,NA
610,CE-SCT,B,no
611,CE-OAK,B,no
612,NL-TIL,B,no
613,CC-ALV,B,yes (DNA)
614,FC-COD,B,no
615,FC-BOE,B,no
616,CE-JAM,B,no
617,CC-FOO,B,no
618,NL-CUI,B,no
619,FC-EVR,B,NA
620,FS-MER,B,no
621,FC-MMA,B,NA
622,NL-LAR,B,no
623,CC-PPR,B,no
624,NL-DOR,B,yes
625,FS-MER,B,NA
626,CC-CUP,B,no
627,CC-OKA,B,no
628,CE-JES,B,no
629,FS-FRE,B,NA
630,CC-ALV,B,no
631,NL-CUI,B,no
632,CE-DUT,B,no
633,CE-CAR,B,no
634,FC-LEM,B,no
635,FS-ARI,B,NA
636,NL-DOR,B,no
637,CC-LEX,B,no
638,CC-SCR,B,no
639,CC-CVR,B,no
640,FC-BOE,B,no
641,NL-SCH,B,no
642,FC-MMA,B,NA
643,NL-TIL,B,no
644,CE-JVR,B,no
645,CE-SRK,B,no
646,FC-EVR,B,no
647,CE-JAR,B,no
648,CC-FBK,B,no
649,NL-LAR,B,yes (DNA)
650,CC-BAI,B,no
651,FC-COD,B,NA
652,CC-PPR,B,yes
653,CC-SHL,B,no
654,NL-HAR,B,NA
655,FS-VID,B,yes (DNA)
656,NL-WHV,B,no
657,CE-SCT,B,no
658,CC-BYD,B,no
659,FC-ISB,B,no
660,CE-OAK,B,no
661,CC-GUA,B,no
662,FC-MLB,B,no
663,CE-TUL,B,yes
664,CE-JAM,B,no
665,CE-LGR,B,no
666,CE-LLL,B,no
667,FS-LAT,B,NA
668,CC-FOO,B,no
669,CE-SON,B,no
670,CE-COL,B,no
671,CC-ALM,B,no
672,FC-COU,B,no
673,CE-DUT,B,no
674,CC-OKA,B,no
675,CE-LGR,B,no
676,CC-LEX,B,no
677,FS-LAT,B,NA
678,CE-SCT,B,yes (DNA)
679,NL-LAR,B,no
680,CE-JAR,B,no
681,CC-BAI,B,no
682,FC-COU,B,no
683,CE-COL,B,no
684,NL-SCH,B,no
685,FC-MMA,B,NA
686,FS-FRE,B,no
687,FS-ARI,B,NA
688,CE-JVR,B,NA
689,FS-VID,B,no
690,NL-WHV,B,no
691,CC-ALM,B,no
692,CC-PPR,B,no
693,FC-MLB,B,no
694,CC-BYD,B,no
695,FC-COD,B,no
696,FC-LEM,B,no
697,CC-CVR,B,NA
698,CE-OAK,B,no
699,NL-DOR,B,no
700,CE-CAR,B,no
701,FC-EVR,B,no
702,CC-CUP,B,no
703,CE-LLL,B,no
704,CE-JAM,B,no
705,CE-SRK,B,no
706,CC-GUA,B,no
707,FC-ISB,B,yes
708,CC-FOO,B,no
709,FS-MER,B,NA
710,CE-TUL,B,no
711,CC-FBK,B,no
712,CC-ALV,B,yes (DNA)
713,CC-SHL,B,no
714,FC-BOE,B,no
715,NL-TIL,B,no
716,NL-CUI,B,no
717,CE-JES,B,no
718,CC-SCR,B,no
719,CE-SON,B,no
720,NL-HAR,B,no
721,FC-MLB,B,no
722,CC-ALV,B,no
723,FC-MMA,B,NA
724,CE-JAR,B,no
725,CC-ALM,B,no
726,NL-CUI,B,no
727,FC-COU,B,no
728,CE-LLL,B,no
729,FS-MER,B,no
730,CC-FOO,B,no
731,CC-CVR,B,no
732,CE-SON,B,no
733,CE-JAM,B,no
734,CC-SCR,B,no
735,CC-SHL,B,no
736,CC-CUP,B,no
737,FC-LEM,B,no
738,NL-LAR,B,NA
739,CE-JES,B,yes (DNA)
740,FS-FRE,B,yes (DNA)
741,NL-DOR,B,no
742,CC-OKA,B,no
743,CC-PPR,B,no
744,CC-GUA,B,no
745,CC-BYD,B,no
746,CE-TUL,B,NA
747,FC-ISB,B,no
748,FS-ARI,B,NA
749,CE-CAR,B,no
750,FS-LAT,B,NA
751,CE-DUT,B,no
752,CE-COL,B,no
753,CE-SRK,B,no
754,NL-TIL,B,no
755,NL-WHV,B,no
756,CC-BAI,B,yes
757,NL-HAR,B,no
758,FC-BOE,B,yes (DNA)
759,CC-LEX,B,yes
760,CE-OAK,B,no
761,CC-FBK,B,no
762,CE-JVR,B,NA
763,CE-SCT,B,no
764,FS-VID,B,yes (DNA)
765,NL-SCH,B,no
766,FC-COD,B,no
767,FC-EVR,B,no
768,CE-LGR,B,no
769,FC-COD,B,NA
770,CC-OKA,B,no
771,NL-HAR,B,no
772,CE-LGR,B,no
773,CC-LEX,B,no
774,FS-ARI,B,NA
775,CE-OAK,B,no
776,NL-DOR,B,no
777,CC-GUA,B,no
778,FS-MER,B,NA
779,FC-LEM,B,no
780,CC-BAI,B,no
781,FS-VID,B,no
782,FC-ISB,B,no
783,FC-BOE,B,no
784,CE-JAR,B,no
785,FC-MLB,B,no
786,CC-SHL,B,no
787,FS-FRE,B,no
788,NL-LAR,B,no
789,FC-EVR,B,no
790,CE-CAR,B,no
791,CE-LLL,B,no
792,CE-COL,B,no
793,CC-ALV,B,no
794,NL-SCH,B,no
795,NL-TIL,B,no
796,FS-LAT,B,NA
797,CC-SCR,B,no
798,CC-FOO,B,no
799,CE-SON,B,no
800,CE-SCT,B,no
801,CE-SRK,B,no
802,FC-MMA,B,no
803,CC-CVR,B,no
804,CC-BYD,B,no
805,CE-JAM,B,no
806,CC-PPR,B,no
807,CE-JES,B,no
808,CC-FBK,B,no
809,CE-DUT,B,no
810,CC-CUP,B,no
811,NL-WHV,B,no
812,CC-ALM,B,no
813,CE-TUL,B,no
814,FC-COU,B,no
815,CE-JVR,B,NA
816,NL-CUI,B,no
817,CC-LEX,B,no
818,CE-CAR,B,no
819,CE-LGR,B,no
820,FC-ISB,B,no
821,CC-GUA,B,no
822,CE-COL,B,no
823,NL-TIL,B,no
824,FC-EVR,B,no
825,NL-WHV,B,no
826,CC-SHL,B,no
827,FS-LAT,B,NA
828,CC-ALV,B,no
829,CE-JAR,B,NA
830,FC-BOE,B,no
831,FC-MMA,B,NA
832,FC-LEM,B,no
833,CE-JVR,B,NA
834,NL-SCH,B,no
835,CE-TUL,B,no
836,FS-FRE,B,no
837,CE-SRK,B,no
838,CC-BAI,B,yes
839,FS-ARI,B,NA
840,CC-CUP,B,no
841,CE-JES,B,no
842,CE-SCT,B,no
843,CE-LLL,B,no
844,NL-CUI,B,NA
845,NL-LAR,B,yes
846,CC-PPR,B,no
847,CE-DUT,B,no
848,CC-FOO,B,no
849,FC-COD,B,no
850,CE-OAK,B,no
851,CE-SON,B,no
852,CE-JAM,B,no
853,FS-MER,B,NA
854,CC-CVR,B,no
855,FC-COU,B,no
856,CC-OKA,B,no
857,CC-SCR,B,no
858,CC-BYD,B,no
