Num,PopName,PopType,TypeAlpha,Pop,Rep,DishNum,PopNum,DishType,ID,SurvivalID,NoGerm,TotGerm,PropGerm,Label,PlantDate,GermDate,CensorJMP,CensorR,DaysGermYes,Census,DaysCensus,DaysToGerm
85,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed5Date,44398,44403,0,1,5,44411,13,5
86,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed6Date,44398,44405,0,1,7,44411,13,7
87,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed7Date,44398,44409,0,1,11,44411,13,11
88,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed8Date,44398,,1,0,-44398,44411,13,13
89,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed9Date,44398,,1,0,-44398,44411,13,13
90,BAY,Off-road,O,BAY-O,E,5,1,Forest,E_1_Forest,Forest_O,3,7,0.7,Seed10Date,44398,,1,0,-44398,44411,13,13
91,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed1Date,44398,44400,0,1,2,44411,13,2
92,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed2Date,44398,44400,0,1,2,44411,13,2
93,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed3Date,44398,44400,0,1,2,44411,13,2
94,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed4Date,44398,44401,0,1,3,44411,13,3
95,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed5Date,44398,44401,0,1,3,44411,13,3
96,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed6Date,44398,44401,0,1,3,44411,13,3
97,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed7Date,44398,44401,0,1,3,44411,13,3
98,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed8Date,44398,44402,0,1,4,44411,13,4
99,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed9Date,44398,44404,0,1,6,44411,13,6
100,BAY,Off-road,O,BAY-O,E,5,1,Construction,E_1_Construction,Construction_O,1,9,0.9,Seed10Date,44398,,1,0,-44398,44411,13,13
101,BAY,Roadside,R,BAY-R,A,6,2,Forest,A_2_Forest,Forest_R,0,10,1,Seed1Date,44398,44400,0,1,2,44411,13,2
102,BAY,Roadside,R,BAY-R,A,6,2,Forest,A_2_Forest,Forest_R,0,10,1,Seed2Date,44398,44400,0,1,2,44411,13,2
103,BAY,Roadside,R,BAY-R,A,6,2,Forest,A_2_Forest,Forest_R,0,10,1,Seed3Date,44398,44400,0,1,2,44411,13,2
104,BAY,Roadside,R,BAY-R,A,6,2,Forest,A_2_Forest,Forest_R,0,10,1,Seed4Date,44398,44400,0,1,2,44411,13,2
105,BAY,Roadside,R,BAY-R,A,6,2,Forest,A_2_Forest,Forest_R,0,10,1,Seed5Date,44398,44400,0,1,2,44411,13,2
106,BAY,Roadside,R,BAY-R,A,6,2,Forest,A_2_Forest,Forest_R,0,10,1,Seed6Date,44398,44400,0,1,2,44411,13,2
